"feature","median"
"diff_L",0
"same_L",1
"same_SL",0
"samevar",0
"orf2_aa_dist",0.15234375
"orf2_ecto_aa_dist",0.124260355
"orf3_aa_dist",0.161417323
"orf3_ecto_aa_dist",0.12987013
"orf4_aa_dist",0.101123596
"orf4_ecto_aa_dist",0.096296296
"orf5_aa_dist",0.09
"orf5_ecto_aa_dist",0.125
"orf6_aa_dist",0.057471264
"orf6_ecto_aa_dist",0.125
"orf7_aa_dist",0.081300813
"orf2_nt_dist",0.150244003
"orf2_ecto_nt_dist",0.159154864
"orf3_nt_dist",0.175496972
"orf3_ecto_nt_dist",0.202783829
"orf4_nt_dist",0.121375565
"orf4_ecto_nt_dist",0.135734145
"orf5_nt_dist",0.140093575
"orf5_ecto_nt_dist",0.147410058
"orf6_nt_dist",0.099311491
"orf6_ecto_nt_dist",0.13856027
"orf3_gly_s_152",0
"orf3_gly_v_152",0
"orf3_gly_both_152",1
"orf4_nogly_057",1
"orf4_gly_s_057",0
"orf4_gly_v_057",0
"orf5_nogly_030",1
"orf5_gly_s_030",0
"orf5_gly_v_030",0
"orf5_nogly_032",0
"orf5_gly_s_032",0
"orf5_gly_v_032",0
"orf5_gly_both_032",0
"orf5_nogly_033",0
"orf5_gly_s_033",0
"orf5_gly_v_033",0
"orf5_gly_both_033",0
"orf5_nogly_034",1
"orf5_gly_v_034",0
"orf5_nogly_057",1
"orf5_gly_s_057",0
"orf5_gly_v_057",0
"orf6_nogly_010",0
"orf6_gly_s_010",0
"orf6_gly_v_010",0
"orf6_gly_both_010",0
"orf6_nogly_052",1
"orf6_gly_v_052",0
"orf6_nogly_066",1
"orf6_gly_v_066",0
"orf7_nogly_034",0
"orf7_gly_s_034",0
"orf7_gly_v_034",0
"orf7_gly_both_034",0
"orf7_nogly_045",1
"orf7_gly_s_045",0
"orf7_gly_v_045",0
"orf7_nogly_089",1
"orf7_gly_s_089",0
"orf7_gly_v_089",0
"orf2_p041_same",1
"orf2_p041_btprop",0
"orf2_p041_flex",0
"orf2_p041_hydro",0
"orf2_p041_pI",0
"orf2_p041_surf",0
"orf2_p041_s_nonpolar_v_polar",0
"orf2_p041_s_polar_v_nonpolar",0
"orf2_p042_same",1
"orf2_p042_btprop",0
"orf2_p042_flex",0
"orf2_p042_hydro",0
"orf2_p042_pI",0
"orf2_p042_surf",0
"orf2_p042_s_nonpolar_v_polar",0
"orf2_p042_s_polar_v_nonpolar",0
"orf2_p044_same",1
"orf2_p044_btprop",0
"orf2_p044_flex",0
"orf2_p044_hydro",0
"orf2_p044_pI",0
"orf2_p044_surf",0
"orf2_p044_s_nonpolar_v_nonpolar",0
"orf2_p045_same",1
"orf2_p045_btprop",0
"orf2_p045_charge",0
"orf2_p045_flex",0
"orf2_p045_hydro",0
"orf2_p045_pI",0
"orf2_p045_surf",0
"orf2_p045_s_acidic_v_nonpolar",0
"orf2_p045_s_nonpolar_v_acidic",0
"orf2_p045_s_nonpolar_v_nonpolar",0
"orf2_p048_same",1
"orf2_p048_btprop",0
"orf2_p048_flex",0
"orf2_p048_hydro",0
"orf2_p048_pI",0
"orf2_p048_surf",0
"orf2_p048_s_nonpolar_v_nonpolar",0
"orf2_p049_same",1
"orf2_p049_btprop",0
"orf2_p049_flex",0
"orf2_p049_hydro",0
"orf2_p049_pI",0
"orf2_p049_surf",0
"orf2_p049_s_polar_v_polar",0
"orf2_p050_same",1
"orf2_p050_btprop",0
"orf2_p050_flex",0
"orf2_p050_hydro",0
